punt_global,estu_genero,fami_estratovivienda,fami_tieneinternet,fami_educacionmadre,fami_educacionpadre,cole_mcpio_ubicacion,cole_cod_mcpio_ubicacion,cole_naturaleza,cole_area_ubicacion,desempeno_global
261,F,Estrato 5,Si,Técnica o tecnológica completa,Técnica o tecnológica completa,MEDELLÍN,5001,NO OFICIAL,RURAL,Medio
310,M,Estrato 4,Si,Educación profesional completa,Educación profesional completa,MEDELLÍN,5001,NO OFICIAL,RURAL,Medio
353,M,Estrato 5,Si,Postgrado,Postgrado,SABANETA,5631,NO OFICIAL,URBANA,Alto
352,M,Estrato 4,Si,Educación profesional completa,Postgrado,SABANETA,5631,NO OFICIAL,URBANA,Alto
379,M,Estrato 3,Si,Técnica o tecnológica completa,Educación profesional completa,SABANETA,5631,NO OFICIAL,URBANA,Alto
237,M,Estrato 2,Si,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,SEGOVIA,5736,NO OFICIAL,URBANA,Medio
344,M,Estrato 5,Si,Educación profesional completa,Educación profesional completa,LA ESTRELLA,5380,NO OFICIAL,RURAL,Alto
335,M,Estrato 6,Si,No sabe,Educación profesional completa,MEDELLÍN,5001,NO OFICIAL,RURAL,Alto
365,F,Estrato 6,Si,Educación profesional completa,Postgrado,MEDELLÍN,5001,NO OFICIAL,URBANA,Alto
337,F,Estrato 6,Si,Educación profesional completa,Postgrado,MEDELLÍN,5001,NO OFICIAL,URBANA,Alto
297,M,Estrato 6,Si,Educación profesional completa,Educación profesional completa,ENVIGADO,5266,NO OFICIAL,RURAL,Medio
161,F,Estrato 1,Si,Secundaria (Bachillerato) incompleta,Postgrado,MEDELLÍN,5001,NO OFICIAL,URBANA,Bajo
215,M,Estrato 4,Si,Técnica o tecnológica completa,Ninguno,MEDELLÍN,5001,NO OFICIAL,URBANA,Bajo
317,F,Estrato 4,Si,Educación profesional completa,Educación profesional completa,LA ESTRELLA,5380,NO OFICIAL,RURAL,Medio
211,M,Estrato 3,Si,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) incompleta,LA CEJA,5376,NO OFICIAL,URBANA,Bajo
333,M,Estrato 6,Si,Educación profesional completa,Educación profesional completa,ENVIGADO,5266,NO OFICIAL,RURAL,Alto
189,F,Estrato 2,Si,Secundaria (Bachillerato) completa,Secundaria (Bachillerato) completa,MEDELLÍN,5001,NO OFICIAL,URBANA,Bajo
298,M,Estrato 6,Si,Educación profesional completa,Postgrado,MEDELLÍN,5001,NO OFICIAL,RURAL,Medio
